_id,_time_c,_time_u,name,manufacturer,type,spine,shaftlength,shaftlength_units,pointweight,pointweight_units,diameter,diameter_units,notes,archived,_aid
1,1649243479,1713279087,x10 sjef,Easton,x10 c3,0.35,30.75,4.0,120.0,0.0,4.5,3,,1,r1iJvHbkTs7K
2,1649932537,1669277603,(bestaat niet meer) B set 380 120grains achterin afgekort,easton,x10 c1,380.0,,,120.0,0.0,4.5,3,,1,r1iJvHbkTs7K
3,1654257244,1669277603,(bestaat niet meer) x10 dean 100gr,easton,x10 c4,350.0,30.0,4.0,120.0,0.0,4.5,3,"afgekort met decutzaag kjss, zonder pin en punt, op lengte 30inch",1,r1iJvHbkTs7K
4,1654357292,1713279087,x10 dean 120gr 2 nock,easton,x10 c4,350.0,30.0,4.0,120.0,0.0,4.5,3,2 nock,1,r1iJvHbkTs7K
5,1654362414,1713279087,B set 380 100grains achterin afgekort,easton,x10 c1,380.0,,,120.0,0.0,4.5,3,,1,r1iJvHbkTs7K
6,1655818009,1713279087,x10 dean 120gr (na world cup Parijs),easton,x10 c4,350.0,30.0,4.0,120.0,0.0,4.5,3,"nock 1

kale zit op 18m er midden bij met -Blauwe ATFX na belek-",1,r1iJvHbkTs7K
7,1670592133,1713279087,x10 sjef rode nocks,Easton,x10 c3,0.35,30.75,4.0,120.0,0.0,4.5,3,racing red overnocks,1,r1iJvHbkTs7K
8,1673120053,1713279087,gele sjef laatste nieuwe nog inzetten,Easton,x10,350.0,,,,,4.5,3,"todo:

puntgewicht checken ik denk 100


[2023-04-19T12:33:04.148] Gebruik in competitie de best groeperende pijlen 3, 5, 6, 9, 11, 19, 20, 22 mogelijk aangevuld met (in deze volgorde) pijlen 14.
[2023-04-19T12:33:44.232] Gebruik in competitie de best groeperende pijlen 3, 5, 6, 9, 11, 16, 18, 19 mogelijk aangevuld met (in deze volgorde) pijlen 14, 4, 7, 22.",1,r1iJvHbkTs7K
9,1689325417,1713279087,x10 lichtgroene nok 100gn,,x10,350.0,,,100.0,0.0,4.5,3,"als test voor groepering 100 vs 120 (oranje nok)

kale pijl zit erbij op 30",1,r1iJvHbkTs7K
10,1689338505,1713279087,x10 oranje nok 120gn (bestaat niet meer),,x10,350.0,,,120.0,0.0,4.5,3,vizier 6.55,1,r1iJvHbkTs7K
11,1689693054,1713279087,x10 oranje nok 100gn,,x10,350.0,,,100.0,0.0,4.5,3,,1,r1iJvHbkTs7K
12,1690546450,1713279087,samengevoegd groene en oranje nokken,easton,x10,350.0,,,100.0,0.0,4.5,3,"van de 2 nieuwe pijlsets voor WK 1 gemaakt met nieuwe nummers te geven om uit te selecteren
[2023-07-28T15:33:07.426] Gebruik in competitie de best groeperende pijlen 1, 2, 3, 4, 7, 9, 13, 16 mogelijk aangevuld met (in deze volgorde) pijlen 5, 11, 8, 15.",1,r1iJvHbkTs7K
13,1695913242,1713279087,paragon 500,,,,,3.0,100.0,0.0,5.2,3,,1,r1iJvHbkTs7K
14,1698209087,1698209087,x10 410 geel,,,,,3.0,,0.0,4.2,3,,0,r1iJvHbkTs7K
15,1702301785,1702301785,2315 x23 limited edition ,,,2315.0,,3.0,200.0,0.0,0.23,4,,0,r1iJvHbkTs7K
16,1713278860,1713278882,380-0-A-C1,easton,x10,380.0,78.9,3.0,120.0,0.0,4.5,3,vroeger c| set. schachtlengte is van nokgroeve tot incl punt,0,r1iJvHbkTs7K
17,1713278927,1713278927,380-1-B-C1,easton,x10,380.0,77.1,3.0,120.0,0.0,4.5,3,schachtlengte is van nokgroeve tot incl punt,0,r1iJvHbkTs7K
18,1713278962,1713278962,380-2-C-C2,easton,x10,380.0,77.0,3.0,,0.0,4.5,3,schachtlengte is van nokgroeve tot incl punt,0,r1iJvHbkTs7K
19,1713279012,1713279012,380-3-D-C2,easton ,x10,380.0,78.3,3.0,,0.0,4.5,3,schachtlengte is van nokgroeve tot incl punt,0,r1iJvHbkTs7K
20,1713279049,1713279049,380-4-E-C1,easton ,x10,380.0,78.9,3.0,120.0,0.0,4.5,3,schachtlengte is van nokgroeve tot incl punt,0,r1iJvHbkTs7K
21,1713279122,1713279122,350-0-A-C4,easton ,x10,350.0,78.8,3.0,100.0,0.0,4.5,3,schachtlengte is van nokgroeve tot incl punt,0,r1iJvHbkTs7K
22,1713279166,1713279166,350-1-B-C4,easton ,x10,350.0,78.8,3.0,100.0,0.0,4.5,3,schachtlengte is van nokgroeve tot incl punt,0,r1iJvHbkTs7K
23,1713279208,1713279208,350-2-C-C4,easton ,x10,350.0,78.9,3.0,120.0,0.0,4.5,3,schachtlengte is van nokgroeve tot incl punt,0,r1iJvHbkTs7K
24,1713279249,1713279249,350-3-D-C3,easton ,x10,350.0,78.8,3.0,100.0,0.0,4.5,3,schachtlengte is van nokgroeve tot incl punt,0,r1iJvHbkTs7K
25,1713279296,1713279296,350-4-E-C4,easton ,x10,350.0,78.8,3.0,100.0,0.0,4.5,3,schachtlengte is van nokgroeve tot incl punt,0,r1iJvHbkTs7K
26,1716464348,1716464371,x10 410 wit geel-copy wedstrijdset,,,,,3.0,,0.0,4.2,3,,0,r1iJvHbkTs7K
27,1727945285,1727945285,zwarte x10,,,410.0,,3.0,,0.0,4.5,3,,0,r1iJvHbkTs7K
28,1734354377,1734355583,350-4-E-C4 - stukje vanaf (lengte 410 zwart),easton ,x10,350.0,0.0,3.0,120.0,0.0,4.5,3,,0,r1iJvHbkTs7K
